ID,Run,Batch,Exp_Type,Variable_Regions,SampleNum,Plate,Row,Column,Experiment,Comm,Rep,Carbon,Conc,Transfer,forward_reads,reverse_reads
S1_R2,R2,YaleYCGA_RQ5908,Rep1,V4,1.0,1.0,A,1.0,T12-R4-2,X1,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/007/SRR7134067/SRR7134067_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/007/SRR7134067/SRR7134067_2.fastq.gz
S2_R2,R2,YaleYCGA_RQ5908,Rep1,V4,2.0,1.0,A,2.0,T12-R4-2,X2,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/008/SRR7134068/SRR7134068_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/008/SRR7134068/SRR7134068_2.fastq.gz
S3_R2,R2,YaleYCGA_RQ5908,Rep1,V4,3.0,1.0,A,3.0,T12-R4-2,X3,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/005/SRR7134065/SRR7134065_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/005/SRR7134065/SRR7134065_2.fastq.gz
S4_R2,R2,YaleYCGA_RQ5908,Rep1,V4,4.0,1.0,A,4.0,T12-R4-2,X4,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/006/SRR7134066/SRR7134066_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/006/SRR7134066/SRR7134066_2.fastq.gz
S5_R2,R2,YaleYCGA_RQ5908,Rep1,V4,5.0,1.0,A,5.0,T12-R4-2,X5,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/001/SRR7134071/SRR7134071_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/001/SRR7134071/SRR7134071_2.fastq.gz
S6_R2,R2,YaleYCGA_RQ5908,Rep1,V4,6.0,1.0,A,6.0,T12-R4-2,X6,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/002/SRR7134072/SRR7134072_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/002/SRR7134072/SRR7134072_2.fastq.gz
S7_R2,R2,YaleYCGA_RQ5908,Rep1,V4,7.0,1.0,A,7.0,T12-R4-2,X7,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7134073/SRR7134073_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7134073/SRR7134073_2.fastq.gz
S8_R2,R2,YaleYCGA_RQ5908,Rep1,V4,8.0,1.0,A,8.0,T12-R4-2,X8,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/000/SRR7134070/SRR7134070_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/000/SRR7134070/SRR7134070_2.fastq.gz
S9_R2,R2,YaleYCGA_RQ5908,Rep1,V4,9.0,1.0,A,9.0,T12-R4-2,X9,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7134063/SRR7134063_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7134063/SRR7134063_2.fastq.gz
S10_R2,R2,YaleYCGA_RQ5908,Rep1,V4,10.0,1.0,A,10.0,T12-R4-2,X10,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/004/SRR7134064/SRR7134064_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/004/SRR7134064/SRR7134064_2.fastq.gz
S11_R2,R2,YaleYCGA_RQ5908,Rep1,V4,11.0,1.0,A,11.0,T12-R4-2,X11,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/002/SRR7133962/SRR7133962_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/002/SRR7133962/SRR7133962_2.fastq.gz
S12_R2,R2,YaleYCGA_RQ5908,Rep1,V4,12.0,1.0,A,12.0,T12-R4-2,X12,1.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7133963/SRR7133963_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/003/SRR7133963/SRR7133963_2.fastq.gz
S13_R2,R2,YaleYCGA_RQ5908,Rep1,V4,13.0,1.0,B,1.0,T12-R4-2,X1,2.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/000/SRR7133960/SRR7133960_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/000/SRR7133960/SRR7133960_2.fastq.gz
S14_R2,R2,YaleYCGA_RQ5908,Rep1,V4,14.0,1.0,B,2.0,T12-R4-2,X2,2.0,Citrate,0.07,12,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/001/SRR7133961/SRR7133961_1.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR713/001/SRR7133961/SRR7133961_2.fastq.gz
